sipl,container,supplier,status,OF_status,CUSTOMS_status,DUTY_status,DRAYAGE_status,missing_categories,pending_categories,overall_status
164308,TTNU1290366,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164310,MRKU9596846,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164313,MRKU9770768,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164322,MRKU8277490,Global Surfaces Limited - Quartz,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
164323,MRKU7490958,Global Surfaces Limited - Quartz,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164324,GLDU5582250,Global Surfaces Limited - Quartz,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166027C,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166027D,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166028,MSMU1056280,FMG Shapes Srl,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
166028B,MSMU1056280,FMG Shapes Srl,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
166371E,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166371F,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166980B,MSMU3424396,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
167521,MSNU1228696,Ceramiche Marca Corona,INTRANSIT,Missing,Complete,Complete,Complete,OF,,Missing
167577C,MSNU2606430,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
167671,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
168250,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
168250B,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
168733,GESU1342091,"Apollo Stone Imports, Inc.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
168893,MEDU2304983,Marbres Homedes,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
168893B,MEDU2304983,Marbres Homedes,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
168893C,MEDU6299740,Marbres Homedes,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
168893D,MEDU6299740,Marbres Homedes,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
168893E,MEDU3697078,Marbres Homedes,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
168893F,MEDU3697078,Marbres Homedes,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169063,MSDU2857097,Ceramiche Marca Corona,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169273,MSDU8402053,Edimax Ceramiche Gruppo Beta S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169273B,MSNU3337994,Edimax Ceramiche Gruppo Beta S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169326,MSNU7395469,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169395,UETU3104850,Promomarbre,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169397,UETU3104850,Promomarbre,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169571,MSDU1440513,GRESPANIA SA,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
169611B,MSNU7395469,Emilceramica S.r.l (dba Emilgroup),INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169616B,MSNU7395469,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169617,MSNU7395469,COEM /FIORENESE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169657B,MSDU7956662,"StonePeak Ceramics, Inc",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169790B,MSDU8402053,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169961,CAIU6195977,"Compacstone USA, Inc",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
169976,FCIU4308603,Ecoceramic Ceramica,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170016,FTAU1244280,Thor Bahia Granitos LTDA - EPP,INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
170081,MSMU1753221,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170089,MEDU3110874,Gmp-Graniti Marmi Pietre S.P.A.,INTRANSIT,Missing,Complete,Missing,Missing,"OF, DUTY, DRAYAGE",,Missing
170107,MSMU1753221,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170135,MSMU3540210,INFINITY ENGINEERED SURFACE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170142,MSDU7956662,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170191,MSNU1343956,Black Eagle Surfaces SRL,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
170211,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170278,MSNU3140602,Fincibec S.p.a.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170281B,TLLU3415434,Natural Stones S.R.L.,INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
170325,MSDU7956662,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170371,TLLU3415434,Natural Stones S.R.L.,INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
170371B,SEGU2963797,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
